"","PROVINCE","urban","age","gender","I1_3_1","party","army","sec_lan","f_b_hukou","f_n_hukou","m_b_hukou","m_n_hukou","b_hukou","n_hukou","local_hukou","migrant_hukou","cungaiju","u_w_m","u_c_m","r_m","p_m","uint_add_m","br_m","bus_m","I1_20_1","I1_20_2","n_r_o_i","I1_20_4","I1_20_5","I1_21","I1_22_1","I1_22_2","I1_22_3","tech_edu","I2_10","work_exp","I3a1_1","I3a1_2","I3a1_5","I3a1_9","I3a1_14","I3a1_16_1","I3a1_16_2","I3a1_16_3","I3a1_19_1","I3a1_19_2","I3a1_19_3","I3a1_20_1","I3a1_20_2","I3a1_20_3","I3a1_20_4","I3a1_20_5","I3a1_20_7","I3a1_20_8","I3a1_20_9","I3a1_21","I3a2_1","friend","psychofriend","discussfriend","moneyfriend","memberelect","happy","happycp","I7_7_1","I7_7_2","I7_9","soccls","b_soccls","I7_10_3_1","t_soccls","soctrs","I9_1","I9_2","arm","health","I9_5","I9_6","ill","I9_8","I9_9","I9_10","I9_11","I9_12","I9_14","interviewway","reject","impat","itviewer_trust","fudge","colla","rely","lang","sinitviewer","look","sinitviewee","rtype_u","belief","edu","fedu","medu","jobmean","dinner","socresp","localsc","comlk","plan","u","d"
"5916",650000,0,37,1,650000,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,1,1,4,4,2,2,4,5,4,6,4,3,168,120,166,2,2,1,0,0,0,4,3,0,0,2,4,4,4,3,4,4,2,0,6,1,0,1,2,2,1,0.932965755462646,NA,-0.431529670953751,1,0.66414999961853,8,0.71209305524826,1
"5917",440000,1,24,1,440000,0,0,1,1,1,1,2,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,2,2,2,3,3,2,3,3,3,3,NA,3,3,3,1,NA,2,2,2,2,2,3,3,3,3,3,3,2,4,2,3,167,116,167,3,2,3,0,0,0,3,3,0,0,1,3,3,3,3,3,3,2,0,5,1,1,1,4,3,2,-0.94632351398468,1.04428017139435,0.239654049277306,1,-0.578151047229767,8,0.712191581726074,1
"5918",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,1,1,NA,NA,NA,NA,NA,NA,0,NA,NA,0.712275207042694,1
"5919",440000,0,47,1,440000,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,1,1,4,3,3,3,2,4,3,4,2,2,168,115,166,2,3,1,0,0,6,4,4,1,1,1,4,4,4,4,4,4,2,0,7,0,1,0,1,1,1,0.318867176771164,-0.922452747821808,-0.6668940782547,1,0.186658024787903,8,0.712403059005737,1
"5920",420000,0,18,0,420000,0,0,1,1,2,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,3,2,6,6,5,3,3,3,5,5,7,5,3,164,86,156,2,2,1,0,0,0,2,2,0,0,1,4,4,4,4,4,4,2,1,9,0,0,0,3,3,3,NA,NA,0.239654049277306,1,-1.34046161174774,2,0.712709844112396,1
"5921",410000,1,65,1,410000,1,0,0,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,3,4,6,2,4,2,0,5,0,1,3,162,130,150,4,1,1,0,1,NA,2,3,1,0,1,4,4,4,3,4,4,2,1,NA,1,0,0,1,1,1,-0.591995060443878,0.274211794137955,1.02851998806,1,-2.20035791397095,8,0.712812542915344,1
"5922",510000,0,45,1,510000,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,1,3,3,4,3,1,4,4,5,5,5,2,3,160,140,158,3,1,1,0,0,0,3,3,1,1,1,4,4,3,4,3,3,2,1,8,1,1,0,1,1,1,-0.938968002796173,NA,0.817022562026978,1,-0.0956620499491692,2,0.712891697883606,1
"5923",350000,0,56,1,350000,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,2,6,6,1,1,4,10,10,10,3,3,170,165,170,3,1,1,0,0,0,3,3,1,0,1,4,4,4,4,4,4,2,1,5,1,1,0,3,1,1,0.78997415304184,-0.922452747821808,0.239654049277306,1,1.0465544462204,8,0.713033497333527,1
"5924",510000,0,45,1,510000,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,1,1,3,3,1,3,4,4,2,5,2,3,170,160,165,2,1,1,0,0,0,2,1,1,0,2,3,2,3,1,4,3,2,0,6,0,1,0,2,1,1,NA,-0.922452747821808,-1.10271334648132,1,0.66414999961853,1,0.713115096092224,1
"5925",440000,0,20,1,510000,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,2,2,3,2,3,1,1,NA,NA,1,1,2,NA,NA,1,NA,2,2,1,2,6,5,6,4,5,3,5,7,7,8,3,171,120,163,1,2,2,0,0,0,4,4,1,1,1,4,4,3,3,3,2,1,1,5,1,0,0,1,2,1,-0.937826335430145,2.1997799873352,-1.10271334648132,1,-1.72036755084991,1,0.713189482688904,1
